time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-07 00:00:00+00:00,20,10,0,0
2026-06-08 00:00:00+00:00,7,3,0,0
2026-06-09 00:00:00+00:00,10,5,11,1
2026-06-10 00:00:00+00:00,18,8,1,1
2026-06-11 00:00:00+00:00,13,6,1,1
2026-06-12 00:00:00+00:00,20,9,3,3
2026-06-13 00:00:00+00:00,28,12,0,0
2026-06-14 00:00:00+00:00,39,14,1,1
2026-06-15 00:00:00+00:00,21,6,1,1
2026-06-16 00:00:00+00:00,32,8,1,1
2026-06-17 00:00:00+00:00,23,9,0,0
2026-06-18 00:00:00+00:00,14,5,0,0
2026-06-19 00:00:00+00:00,48,9,0,0
2026-06-20 00:00:00+00:00,63,15,0,0
