time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-10 00:00:00+00:00,31,9,0,0
2026-04-11 00:00:00+00:00,29,10,0,0
2026-04-12 00:00:00+00:00,15,6,1,1
2026-04-13 00:00:00+00:00,33,11,1,1
2026-04-14 00:00:00+00:00,24,9,0,0
2026-04-15 00:00:00+00:00,27,10,0,0
2026-04-16 00:00:00+00:00,32,12,0,0
2026-04-17 00:00:00+00:00,17,7,0,0
2026-04-18 00:00:00+00:00,2,2,0,0
2026-04-19 00:00:00+00:00,21,10,0,0
2026-04-20 00:00:00+00:00,52,24,0,0
2026-04-21 00:00:00+00:00,42,20,7,5
2026-04-22 00:00:00+00:00,69,28,0,0
2026-04-23 00:00:00+00:00,118,32,1,1
